Element,-5,-4,-3,-2,-1,BASE,1,2,3,4,5
1T,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1S,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1Lo,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1Eu,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1F,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1Lz,-0.30,-0.24,-0.18,-0.12,-0.06,0.60,0.06,0.12,0.18,0.24,0.30
1T<,-0.16,-0.13,-0.10,-0.06,-0.03,0.32,0.03,0.06,0.10,0.13,0.16
1S<,-0.16,-0.13,-0.10,-0.06,-0.03,0.32,0.03,0.06,0.10,0.13,0.16
1Lo<,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1F<,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1Fe,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1Lz<,-0.24,-0.19,-0.14,-0.10,-0.05,0.48,0.05,0.10,0.14,0.19,0.24
1Lze,-0.24,-0.19,-0.14,-0.10,-0.05,0.48,0.05,0.10,0.14,0.19,0.24
1F<e,-0.15,-0.12,-0.09,-0.06,-0.03,0.30,0.03,0.06,0.09,0.12,0.15
1Lz<e,-0.18,-0.14,-0.11,-0.07,-0.04,0.36,0.04,0.07,0.11,0.14,0.18
1A,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,0.11,0.22,0.33,0.44,0.55
2T,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
2S,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
2Lo,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
2F,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
2Lz,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
1A<,-0.44,-0.35,-0.26,-0.18,-0.09,0.88,0.09,0.18,0.26,0.35,0.44
2T<,-0.52,-0.42,-0.31,-0.21,-0.10,1.04,0.10,0.21,0.31,0.42,0.52
2S<,-0.52,-0.42,-0.31,-0.21,-0.10,1.04,0.10,0.21,0.31,0.42,0.52
2Lo<,-0.68,-0.54,-0.41,-0.27,-0.14,1.36,0.14,0.27,0.41,0.54,0.68
2F<,-0.72,-0.58,-0.43,-0.29,-0.14,1.44,0.14,0.29,0.43,0.58,0.72
2Fe,-0.72,-0.58,-0.43,-0.29,-0.14,1.44,0.14,0.29,0.43,0.58,0.72
2Lz<,-0.84,-0.67,-0.50,-0.34,-0.17,1.68,0.17,0.34,0.50,0.67,0.84
2Lze,-0.84,-0.67,-0.50,-0.34,-0.17,1.68,0.17,0.34,0.50,0.67,0.84
2F<e,-0.54,-0.43,-0.32,-0.22,-0.11,1.08,0.11,0.22,0.32,0.43,0.54
2Lz<e,-0.63,-0.50,-0.38,-0.25,-0.13,1.26,0.13,0.25,0.38,0.50,0.63
2A,-1.65,-1.32,-0.99,-0.66,-0.33,3.30,0.33,0.66,0.99,1.32,1.65
3T,-2.10,-1.68,-1.26,-0.84,-0.42,4.20,0.42,0.84,1.26,1.68,2.10
3S,-2.15,-1.72,-1.29,-0.86,-0.43,4.30,0.43,0.86,1.29,1.72,2.15
3Lo,-2.45,-1.96,-1.47,-0.98,-0.49,4.90,0.49,0.98,1.47,1.96,2.45
3F,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
3Lz,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
2A<,-1.32,-1.06,-0.79,-0.53,-0.26,2.64,0.26,0.53,0.79,1.06,1.32
3T<,-1.68,-1.34,-1.01,-0.67,-0.34,3.36,0.34,0.67,1.01,1.34,1.68
3S<,-1.72,-1.38,-1.03,-0.69,-0.34,3.44,0.34,0.69,1.03,1.38,1.72
3Lo<,-1.96,-1.57,-1.18,-0.78,-0.39,3.92,0.39,0.78,1.18,1.57,1.96
3F<,-2.12,-1.70,-1.27,-0.85,-0.42,4.24,0.42,0.85,1.27,1.70,2.12
3Fe,-2.12,-1.70,-1.27,-0.85,-0.42,4.24,0.42,0.85,1.27,1.70,2.12
3Lz<,-2.36,-1.89,-1.42,-0.94,-0.47,4.72,0.47,0.94,1.42,1.89,2.36
3Lze,-2.36,-1.89,-1.42,-0.94,-0.47,4.72,0.47,0.94,1.42,1.89,2.36
3F<e,-1.59,-1.27,-0.95,-0.64,-0.32,3.18,0.32,0.64,0.95,1.27,1.59
3Lz<e,-1.77,-1.42,-1.06,-0.71,-0.35,3.54,0.35,0.71,1.06,1.42,1.77
3A,-4.00,-3.20,-2.40,-1.60,-0.80,8.00,0.80,1.60,2.40,3.20,4.00
4T,-4.75,-3.80,-2.85,-1.90,-0.95,9.50,0.95,1.90,2.85,3.80,4.75
4S,-4.85,-3.88,-2.91,-1.94,-0.97,9.70,0.97,1.94,2.91,3.88,4.85
4Lo,-5.25,-4.20,-3.15,-2.10,-1.05,10.50,1.05,2.10,3.15,4.20,5.25
